Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,31141,1,1,38,86,38,38,38.0,0.0,86,86,86.0,0.0,3981.888828,64.22401336,31141.0,0.0,31141,31141,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.11200668,32.11200668,38,86,54.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1,81.0,38.0,86.0,0,0,0,0,0,0,1,38,1,86,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,99777,2,2,66,140,33,33,33.0,0.0,70,70,70.0,0.0,2064.604067,40.08939936,33259.0,57562.11491,99726,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,64,20.04469968,20.04469968,33,70,47.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,59.75,33.0,70.0,0,0,0,0,0,0,2,66,2,140,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,29810309,6,7,3149,793,1665,6,524.8333333,806.3831389,757,6,113.2857143,283.8513192,132.2361335,0.43609075,2484192.417,4434421.883,10000000,3,20300000,4063363.2,5455380.416,10000000,47,29800000,4964464.333,5355701.479,10000000,3,0,0,0,0,120,140,0.201272654,0.234818096,6,1665,385.8571429,651.8868303,424956.4396,0,0,0,0,1,0,0,0,1,415.5384615,524.8333333,113.2857143,0,0,0,0,0,0,6,3149,7,793,64240,20571,5,20,102916.0,138302.5304,262614,23028,9833853.667,314803.1588,10000000,9470465,BENIGN
53625,238,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,50420.16807,8403.361345,238.0,0.0,238,238,238,238.0,0.0,238,238,0,0.0,0.0,0,0,0,0,0,0,40,0,8403.361345,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,351,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,121869,2,2,74,264,37,37,37.0,0.0,132,132,132.0,0.0,2773.469873,32.82212868,40623.0,70277.09549,121772,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,64,64,16.41106434,16.41106434,37,132,75.0,52.03364296,2707.5,0,0,0,0,0,0,0,0,1,93.75,37.0,132.0,0,0,0,0,0,0,2,74,2,264,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23382,1,1,52,68,52,52,52.0,0.0,68,68,68.0,0.0,5132.152938,85.5358823,23382.0,0.0,23382,23382,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.76794115,42.76794115,52,68,57.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,86.0,52.0,68.0,0,0,0,0,0,0,1,52,1,68,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,27059,2,2,68,158,34,34,34.0,0.0,79,79,79.0,0.0,8352.119443,147.8251229,9019.666667,15617.32478,27053,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,40,73.91256144,73.91256144,34,79,52.0,24.64751509,607.5,0,0,0,0,0,0,0,0,1,65.0,34.0,79.0,0,0,0,0,0,0,2,68,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,258,2,2,68,276,34,34,34.0,0.0,138,138,138.0,0.0,1333333.333,15503.87597,86.0,143.760217,252,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,7751.937984,7751.937984,34,138,75.6,56.96314598,3244.8,0,0,0,0,0,0,0,0,1,94.5,34.0,138.0,0,0,0,0,0,0,2,68,2,276,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,62305042,22,19,4535,10231,1083,0,206.1363636,401.4859655,1460,2,538.4736842,597.0363258,236.995266,0.658052682,1557626.05,3592820.404,10000000,11,62300000,2966906.762,4585320.3,10000000,1692,62300000,3458705.0,4799506.918,10000000,49,0,0,0,0,452,384,0.353101439,0.304951243,0,1460,351.5714286,519.2349505,269604.9338,0,0,0,1,0,0,0,0,0,360.1463415,206.1363636,538.4736842,0,0,0,0,0,0,22,4535,19,10231,8192,37905,21,20,265321.0,532218.763,1351708,48029,9995703.167,11269.43746,10000000,9972727,BENIGN
80,5848097,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.051949549,0.683983183,1949365.667,3332268.344,5797025,30,5848097,2924048.5,4063002.331,5797025,51072,0,0.0,0.0,0,0,0,0,0,0,80,32,0.512987387,0.170995796,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,0,0,0,0,0,0,3,12,1,0,29200,17922,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,195,2,2,82,114,41,41,41.0,0.0,57,57,57.0,0.0,1005128.205,20512.82051,65.0,72.02083032,144,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,10256.41026,10256.41026,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41.0,57.0,0,0,0,0,0,0,2,82,2,114,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58089,5002,2,1,280,6,274,6,140.0,189.5046174,6,6,6.0,0.0,57177.12915,599.760096,2501.0,3460.580587,4948,54,5002,5002.0,0.0,5002,5002,0,0.0,0.0,0,0,1,0,0,0,40,20,399.840064,199.920032,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,107981,2,2,70,196,35,35,35.0,0.0,98,98,98.0,0.0,2463.396338,37.04355396,35993.66667,62298.69618,107930,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,18.52177698,18.52177698,35,98,60.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,1,75.25,35.0,98.0,0,0,0,0,0,0,2,70,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,172,2,2,86,204,43,43,43.0,0.0,102,102,102.0,0.0,1686046.512,23255.81395,57.33333333,94.10809388,166,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,80,11627.90698,11627.90698,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,0,0,0,0,0,0,2,86,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,318499,13,12,1487,6059,895,0,114.3846154,242.785069,1430,0,504.9166667,580.1727734,23692.38208,78.49318208,13270.79167,19269.94113,62508,1,318499,26541.58333,23507.347,62508,3,253973,23088.45455,36963.76305,104376,1,0,0,0,0,272,252,40.81645468,37.6767274,0,1430,290.2307692,466.8720859,217969.5446,0,0,0,1,0,0,0,0,0,301.84,114.3846154,504.9166667,0,0,0,0,0,0,13,1487,12,6059,8192,373,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53770,13646,2,2,0,12,0,0,0.0,0.0,6,6,6.0,0.0,879.3785725,293.1261908,4548.666667,7485.442695,13192,189,13646,13646.0,0.0,13646,13646,265,265.0,0.0,265,265,0,0,0,0,64,40,146.5630954,146.5630954,0,6,2.4,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,0,0,0,0,0,0,2,0,2,12,235,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,198,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,464646.4646,20202.0202,66.0,31.17691454,102,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,10101.0101,10101.0101,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,49611,2,2,76,180,38,38,38.0,0.0,90,90,90.0,0.0,5160.145935,80.62728024,16537.0,28560.6518,49516,47,47,47.0,0.0,47,47,48,48.0,0.0,48,48,0,0,0,0,80,40,40.31364012,40.31364012,38,90,58.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,73.5,38.0,90.0,0,0,0,0,0,0,2,76,2,180,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,513,1,1,89,173,89,89,89.0,0.0,173,173,173.0,0.0,510721.2476,3898.635478,513.0,0.0,513,513,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1949.317739,1949.317739,89,173,117.0,48.49742261,2352.0,0,0,0,0,0,0,0,0,1,175.5,89.0,173.0,0,0,0,0,0,0,1,89,1,173,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,288,2,2,60,262,30,30,30.0,0.0,131,131,131.0,0.0,1118055.556,13888.88889,96.0,81.40638796,190,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,64,64,6944.444444,6944.444444,30,131,70.4,55.31997831,3060.3,0,0,0,0,0,0,0,0,1,88.0,30.0,131.0,0,0,0,0,0,0,2,60,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
88,366,2,2,360,358,180,180,180.0,0.0,179,179,179.0,0.0,1961748.634,10928.96175,122.0,204.3819953,358,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,5464.480874,5464.480874,179,180,179.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,224.5,180.0,179.0,0,0,0,0,0,0,2,360,2,358,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,218,2,2,92,254,46,46,46.0,0.0,127,127,127.0,0.0,1587155.963,18348.62385,72.66666667,122.402342,214,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,80,9174.311927,9174.311927,46,127,78.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,98.0,46.0,127.0,0,0,0,0,0,0,2,92,2,254,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50562,18,3,0,83,0,46,6,27.66666667,20.20725942,0,0,0.0,0.0,4611111.111,166666.6667,9.0,8.485281374,15,3,18,9.0,8.485281374,15,3,0,0.0,0.0,0,0,1,0,0,0,60,0,166666.6667,0.0,6,46,32.25,18.87458609,356.25,0,1,0,0,1,0,0,0,0,43.0,27.66666667,0.0,0,0,0,0,0,0,3,83,0,0,148,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,61064389,18,15,761,4935,455,0,42.27777778,114.5650627,1448,0,329.0,558.1976097,93.27858828,0.540413169,1908262.156,3960447.14,10000000,7,61100000,3592022.882,4927641.924,10100000,96,61000000,4358130.143,5136284.457,10100000,48,0,0,0,0,584,488,0.29477082,0.24564235,0,1448,167.5294118,400.2594791,160207.6506,0,0,0,1,0,0,0,0,0,172.6060606,42.27777778,329.0,0,0,0,0,0,0,18,761,15,4935,29200,79,3,32,112441.8333,151813.1541,422329,50284,10000000.0,12725.30477,10000000,9998281,BENIGN
53,251,2,2,90,196,45,45,45.0,0.0,98,98,98.0,0.0,1139442.231,15936.25498,83.66666667,104.4094504,201,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,7968.12749,7968.12749,45,98,66.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,82.75,45.0,98.0,0,0,0,0,0,0,2,90,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3556717,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,50.88962659,1.686948948,711343.4,1541192.766,3468020,3,3556717,889179.25,1719724.644,3468020,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.40579079,0.281158158,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,0,0,0,0,0,0,5,135,1,46,258,360,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42728,5,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,5,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0,0,0,64,0,400000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,905,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
20559,131,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,91603.05344,15267.17557,131.0,0.0,131,131,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,7633.587786,7633.587786,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,119,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31496,4,2,140,182,35,35,35.0,0.0,91,91,91.0,0.0,10223.52045,190.500381,6299.2,13433.10938,30312,3,30319,10106.33333,17498.62064,30312,3,4,4.0,0.0,4,4,0,0,0,0,80,40,127.000254,63.500127,35,91,51.0,27.32520204,746.6666667,0,0,0,0,0,0,0,0,0,59.5,35.0,91.0,0,0,0,0,0,0,4,140,2,182,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,32330,2,2,74,170,37,37,37.0,0.0,85,85,85.0,0.0,7547.169811,123.7240953,10776.66667,18661.40408,32325,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,40,40,61.86204763,61.86204763,37,85,56.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,70.25,37.0,85.0,0,0,0,0,0,0,2,74,2,170,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,227,2,2,70,230,35,35,35.0,0.0,115,115,115.0,0.0,1321585.903,17621.14537,75.66666667,89.04680417,175,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,8810.572687,8810.572687,35,115,67.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,83.75,35.0,115.0,0,0,0,0,0,0,2,70,2,230,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,146026,2,2,68,262,34,34,34.0,0.0,131,131,131.0,0.0,2259.87153,27.39238218,48675.33333,84304.68631,146022,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,64,13.69619109,13.69619109,34,131,72.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,91.0,34.0,131.0,0,0,0,0,0,0,2,68,2,262,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,519680,2,2,88,206,44,44,44.0,0.0,134,72,103.0,43.84062043,565.7327586,7.697044335,173226.6667,195387.6445,396041,31133,427174,427174.0,0.0,427174,427174,488547,488547.0,0.0,488547,488547,0,0,0,0,40,40,3.848522167,3.848522167,44,134,67.6,39.04868756,1524.8,0,0,0,0,0,0,0,0,1,84.5,44.0,103.0,0,0,0,0,0,0,2,88,2,206,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30835,4,2,128,96,32,32,32.0,0.0,48,48,48.0,0.0,7264.472191,194.5840765,6167.0,10836.1982,25024,3,25031,8343.666667,14445.59242,25024,3,3,3.0,0.0,3,3,0,0,0,0,104,40,129.7227177,64.86135885,32,48,36.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,42.66666667,32.0,48.0,0,0,0,0,0,0,4,128,2,96,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,68407107,42,32,18913,25015,2410,0,450.3095238,692.9931365,2896,0,781.71875,889.8100281,642.1555,1.081758946,937083.6575,2797299.121,10000000,3,68400000,1668466.024,3599927.072,10100000,48,68400000,2205032.516,4014687.586,10100000,190,0,0,0,0,1352,1032,0.613971294,0.467787653,0,2896,585.7066667,793.3585259,629417.7506,0,0,0,1,0,0,0,0,0,593.6216216,450.3095238,781.71875,0,0,0,0,0,0,42,18913,32,25015,29200,278,15,32,1344317.667,3170753.838,7816591,46647,10000000.0,11247.86667,10000000,10000000,BENIGN
50810,0,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,inf,inf,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,0.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,1013,16310,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,27776,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,11520.73733,144.0092166,9258.666667,16030.41891,27769,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,72.00460829,72.00460829,32,128,70.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,88.0,32.0,128.0,0,0,0,0,0,0,2,64,2,256,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50751,63,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,190476.1905,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15873.01587,15873.01587,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,456,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,60327526,10,10,462,1008,420,0,46.2,131.3636175,498,0,100.8,209.3571112,24.36698631,0.331523623,3175132.947,4686286.401,10000000,130,50600000,5622913.778,5217132.634,10100000,367,60200000,6691945.111,4921542.226,10100000,1135,0,0,0,0,224,272,0.165761812,0.165761812,0,498,70.0,168.7945497,28491.6,0,0,0,1,0,0,0,0,1,73.5,46.2,100.8,0,0,0,0,0,0,10,462,10,1008,8192,110,8,20,180558.6,180320.6679,503126,99847,9940686.2,131231.6054,10000000,9706117,BENIGN
443,484495,8,4,382,3508,201,0,47.75,74.77728838,2920,0,877.0,1389.081711,8028.978627,24.76805746,44045.0,63269.82901,207156,58,484495,69213.57143,68912.42566,207156,1438,135079,45026.33333,74682.77052,131240,211,0,0,0,0,172,92,16.51203831,8.256019154,0,2920,299.2307692,804.0799249,646544.5256,0,0,0,1,0,0,0,0,0,324.1666667,47.75,877.0,0,0,0,0,0,0,8,382,4,3508,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60989,2,2,80,206,40,40,40.0,0.0,103,103,103.0,0.0,4689.370214,65.5855974,20329.66667,35130.60918,60895,47,47,47.0,0.0,47,47,47,47.0,0.0,47,47,0,0,0,0,64,64,32.7927987,32.7927987,40,103,65.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,1,81.5,40.0,103.0,0,0,0,0,0,0,2,80,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53569,86,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,139534.8837,23255.81395,86.0,0.0,86,86,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11627.90698,11627.90698,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,913,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
